30071,6667,18897,4325,23176,17739,7197,9863
28386,27424,731,729,28149,10671,9390,16199
7539,16052,10302,6866,948,28509,22846,22620
1106,5822,30797,4018,6276,9396,921,21872
22062,16971,259,23303,20098,28264,27435,16107
32327,18667,25812,18867,30214,22985,29325,12867
31990,19866,30932,3954,10849,29585,9270,7636
19326,6925,6287,2068,29593,25065,4161,4899
21615,24426,10323,16038,2520,31528,17977,24221
2394,2778,26362,46,31976,23522,30186,4359
19035,7842,21693,14738,13519,13777,11398,13036
14877,66,21256,7185,12317,10096,18887,31958
665,12160,22882,20776,30135,17052,10987,565
9214,19676,731,9540,11418,5726,29531,22308
24889,14991,21283,14802,29118,27020,20798,1499
1843,17899,13641,12135,19325,22268,12667,6739
27619,31448,27224,20019,29455,16988,25164,6784
15877,30464,18240,14541,24496,8370,6993,7633
30143,17483,8826,13215,22605,13561,3607,21926
22327,10525,12642,8974,2800,1811,22444,32160
8976,22126,29214,5546,21552,10540,22762,2538
11210,31884,26054,5751,22626,21494,15376,22362
4688,30397,20345,26832,26251,32487,23285,5222
2591,4660,13111,3429,14755,22856,8408,12822
886,27723,32725,14963,30736,20704,28809,23287
32106,5153,24507,957,27819,11014,28085,19849
21332,2081,2002,10331,25788,31169,11717,4128
25382,14825,25960,2958,3996,794,4560,31295
25889,21886,9412,20477,5309,27919,19048,535
505,15740,19130,25057,15130,14643,21805,11354
8952,3400,9369,7086,23736,11228,14763,1819
15511,32100,673,1165,27257,23282,18725,2710
20392,32227,17833,15401,20320,19098,23247,1794
18684,31510,30718,19153,22393,7436,20208,10526
18414,30854,25888,778,1115,16792,29090,26080
17639,28058,28782,31798,27391,13242,22347,3294
27617,25389,25983,27791,31391,20386,23149,11379
6367,19990,8286,18855,18632,25655,13826,9745
9480,19058,9789,4009,120,27012,19479,28641
5584,22356,26790,5233,12609,12594,20323,29504
10815,5431,15692,30941,2041,31239,17036,22381
16154,31911,11772,9021,11011,17239,19680,31883
12499,24501,30149,19492,7968,22363,17958,16082
32153,15530,24423,16533,6825,5471,7923,6578
28177,17283,25793,489,27266,22217,7808,9008
17659,4163,17187,26380,30908,1233,3310,12778
26247,10014,14267,11604,2333,27460,31833,15325
16378,31284,4903,7369,29801,13261,16539,12429
14176,21426,26301,18883,7120,14257,32182,27076
4471,29110,17159,17125,9837,26868,25543,18039
25039,24544,26478,14549,9836,2664,16624,21872
27137,18371,8993,27087,22936,14810,19762,10131
904,1964,14736,3935,3403,31123,21200,16771
28798,15006,30269,23118,3590,8192,23426,8459
13653,28743,6541,8631,26223,19994,32707,27030
342,7325,2622,29134,22870,25508,30057,26568
31310,751,35,32103,5722,31372,6369,4723
8216,7758,7273,15230,521,5847,27822,32159
5237,11706,1948,29301,5653,7640,23955,24465
25222,2232,25566,2351,9659,19871,30106,13605
18130,4517,32622,24368,7863,5339,16612,212
11040,268,30864,31850,15071,32165,26525,28621
31171,8924,1141,21209,14217,981,19483,18464
28157,6252,17060,25020,25190,5086,21429,17697
31830,15429,15421,16221,10996,26864,23725,551
32099,3506,27872,16536,13429,23105,11628,23373
30867,23408,320,29613,6433,25348,24336,14654
26190,28560,9239,7655,32001,11253,16566,21520
2091,447,13881,4877,5515,3795,30383,1458
31067,7958,11129,24561,28830,16233,27115,24621
23999,26850,17210,14523,22316,22279,24045,17766
14587,5867,21002,19020,15835,8451,19514,13881
27935,17286,19903,1613,5022,18120,13730,23587
30093,11067,30123,27061,14617,20064,12302,26806
29137,31905,5320,8859,1255,24154,5568,21685
18658,18412,22983,32180,335,28848,11443,11197
31001,30436,4540,32129,17257,882,30451,28680
18255,17065,16616,13508,4679,3809,21248,13882
22610,26489,30289,18727,32702,14775,8044,18629
22556,31185,1440,10441,8071,28663,32693,20855
12943,6810,20996,27969,26417,29301,15842,32174
21231,7082,5023,27807,6920,21060,7660,21630
23572,3436,14977,26516,8184,21403,26932,16259
15943,9431,2274,19287,12118,23817,3853,23916
5964,30076,11531,22892,1854,21349,22440,3687
4457,14440,29668,4122,26937,27309,12312,24224
30512,24231,6770,10560,14096,14210,13735,3917
12076,23530,18364,11155,25959,27900,22721,21216
8985,25313,3818,21221,27159,25107,3436,23055
2883,650,30991,25992,20821,30896,18667,25170
28593,2333,3647,30812,29971,7389,20775,506
1958,11675,26307,22074,11871,21561,27917,13575
1221,11482,12051,16426,17984,23978,10147,16896
9515,10085,20649,30620,12148,23226,12080,31645
30659,21465,10555,7266,25153,28813,14993,2680
10797,20711,4239,7494,4355,15708,21032,32186
9311,20570,28306,13739,18399,17331,22570,10973
32552,13959,29243,5736,148,16631,14296,11596
30471,4195,30102,2061,27661,9168,9898,21262
25140,11772,13289,20025,8250,18262,6937,29900
32745,29795,17121,14423,20333,10360,28319,10560
17641,28751,632,14821,25826,17364,15358,26939
12862,28090,25208,12240,2119,31838,6912,30503
19178,7988,4741,26000,25142,19306,20021,8781
18647,15033,7914,29498,6469,28790,6833,26058
29860,23622,26120,135,22401,30981,17120,4632
9933,23895,15239,10501,4701,18245,30890,13967
24730,20812,14305,16435,15712,18352,22840,26755
29529,7830,12852,21446,12021,22012,13811,22452
15034,2428,12047,28537,20938,7454,6889,10120
16800,15533,31714,19211,27424,7751,27410,27030
3956,20522,22398,16315,24667,10158,1764,23828
9883,5278,11948,9544,19679,17730,12403,27077
20031,28012,23031,27092,10087,26127,29159,20020
28198,7472,17283,29055,75,14654,1008,9908
13622,11122,18465,7831,23915,4885,17,5682
5945,30575,8735,11480,110,8284,8437,22614
5836,2495,19449,21906,3240,1375,31486,24356
23652,25868,206,3421,30133,23703,905,28315
21601,29367,8730,13787,29317,10581,20588,702
7526,30967,20685,30839,25914,27482,7033,10115
58,2526,17379,24023,31900,17613,32712,10996
7402,32077,26266,18563,3811,25781,23222,9247
26934,21968,17121,29160,31255,1523,16539,21435
23602,17895,5685,18621,14667,6848,2082,10556
13885,31320,15700,21667,6537,6063,19150,23543
1879,11530,29380,30219,15243,27729,28883,26014
30366,9726,25207,20993,25172,5679,12696,13018
15970,20512,4729,13192,816,20152,4037,29212
1304,32007,2039,25410,29058,32347,30277,500
6740,30922,22163,25416,16196,15363,13779,11953
22536,4713,5358,11118,28114,18818,10105,3572
12336,10851,21478,2915,5002,4291,28035,645
2390,23754,15443,7930,9683,17804,28187,4446
21596,2724,22525,16987,22845,12191,14035,5427
20819,18301,16365,32584,3958,27578,18161,29684
